geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1003690-0,Coral,,,,,,,
emu:/test/etaxonomy/1001728-0,Glassy basalt,,,,,,,
emu:/test/etaxonomy/1004535-0,Enstatite,,,,,,,
emu:/test/etaxonomy/1010535-0,Phenakite,,,,,,,
emu:/test/etaxonomy/1000225-1,Microcline,,,,,,,
emu:/test/etaxonomy/1004964-0,Fluorite,,,,,,,
emu:/test/etaxonomy/1012392-0,Scapolite,,,,,,,
emu:/test/etaxonomy/1011427-2,Quartz,,,,,,,
emu:/test/etaxonomy/1000827-0,Microcline (var. amazonite),,,,,,,
emu:/test/etaxonomy/1002681-0,Cassiterite,,,,,,,
emu:/test/etaxonomy/1012858-0,Serendibite,,,,,,,
emu:/test/etaxonomy/1003907-0,Dacite,,,,,,,
emu:/test/etaxonomy/10060160-0,Yangite,,,,,,,
emu:/test/etaxonomy/1001764-0,Pillow basalt,,,,,,,
emu:/test/etaxonomy/1004032-0,Diabase,,,,,,,
emu:/test/etaxonomy/1005795-0,Granite,,,,,,,
emu:/test/etaxonomy/1009364-0,Nepheline-syenite,,,,,,,
emu:/test/etaxonomy/1013899-0,Tactite,,,,,,,
emu:/test/etaxonomy/1009018-1,Molybdenite,,,,,,,
emu:/test/etaxonomy/1002953-2,Chalcopyrite,,,,,,,
emu:/test/etaxonomy/10069254-0,Alaskitic dike-rock,,,,,,,
emu:/test/etaxonomy/1005915-0,Granodiorite,,,,,,,
emu:/test/etaxonomy/1005846-0,Leuco-granite,,,,,,,
emu:/test/etaxonomy/1004213-0,Quartz-diorite,,,,,,,
emu:/test/etaxonomy/1004118-0,Dike-rock,,,,,,,
emu:/test/etaxonomy/1009576-0,Obsidian,,,,,,,
emu:/test/etaxonomy/1011196-0,Pumice,,,,,,,
emu:/test/etaxonomy/1004745-1,Feldspar,,,,,,,
emu:/test/etaxonomy/1010489-0,Perlite,,,,,,,
emu:/test/etaxonomy/1000234-0,Bornite,,,,,,,
emu:/test/etaxonomy/1008538-0,Marekanite,,,,,,,
emu:/test/etaxonomy/1010489-1,Perlite,,,,,,,
emu:/test/etaxonomy/1009576-1,Obsidian,,,,,,,
emu:/test/etaxonomy/10026999-0,Rhyolite,,,,,,,
emu:/test/etaxonomy/10725161-0,Unidentified rock,,,,,,,
emu:/test/etaxonomy/1014562-0,Welded tuff,,,,,,,
